cityName,country,lat,lng,temp,humidity,cloudiness,winds
ushuaia,ar,-54.81,-68.31,37.4,59,75,9.6
dikson,ru,73.51,80.55,37.01,100,68,14.79
souillac,mu,45.6,-0.6,72.39,64,0,5.82
margate,za,-43.03,147.26,50.0,53,40,21.92
kaitangata,nz,-46.28,169.85,38.63,84,76,6.35
beringovskiy,ru,63.05,179.32,51.32,96,100,9.04
hilo,us,19.71,-155.08,73.92,88,90,6.93
ilulissat,gl,69.22,-51.1,50.0,46,5,4.7
hovd,mn,63.83,10.7,70.39,41,0,4.7
mecca,sa,21.43,39.83,91.4,43,0,2.77
pesaro,it,43.91,12.91,77.65,69,0,3.36
kieta,pg,-6.22,155.63,77.96,100,64,4.27
fairbanks,us,64.84,-147.72,76.41,36,1,5.82
port macquarie,au,-31.43,152.91,37.4,100,8,3.36
geraldton,au,49.72,-86.95,82.4,37,75,10.29
kapaa,us,22.08,-159.32,81.39,78,75,14.99
rikitea,pf,-23.12,-134.97,74.81,98,56,15.41
kizukuri,jp,40.81,140.39,76.25,95,12,2.82
faya,td,18.39,42.45,65.32,72,0,6.93
vaini,to,15.34,74.49,71.21,98,92,7.63
kodiak,us,39.95,-94.76,78.8,57,40,3.36
pangkalanbuun,id,-2.68,111.62,72.83,95,48,2.82
dudinka,ru,69.41,86.18,43.49,82,92,5.39
vuktyl,ru,63.86,57.31,57.44,72,0,3.71
khatanga,ru,71.98,102.47,42.05,97,80,7.63
san cristobal,ec,-0.39,-78.55,57.2,82,75,10.29
albany,au,42.65,-73.75,77.86,51,90,6.93
zhanaozen,kz,43.35,52.85,88.85,16,100,7.4
waingapu,id,-9.65,120.26,67.43,92,36,4.27
mataura,pf,-46.19,168.86,34.31,95,92,3.49
can tho,vn,10.04,105.78,76.34,99,92,5.01
mahebourg,mu,-20.41,57.7,68.0,88,40,1.12
husavik,is,50.56,-96.99,85.43,44,0,10.87
klaksvik,fo,62.23,-6.59,53.6,87,75,14.99
salinopolis,br,-0.61,-47.36,82.01,91,0,19.89
talnakh,ru,69.49,88.39,41.6,91,76,3.89
nikolskoye,ru,59.7,30.79,64.4,82,0,2.24
paamiut,gl,61.99,-49.67,41.33,97,0,9.31
norman wells,ca,65.28,-126.83,69.8,64,75,3.36
severo-kurilsk,ru,50.68,156.12,56.0,92,92,5.39
laguna,br,27.52,-110.01,101.9,36,0,3.89
iqaluit,ca,63.75,-68.52,39.2,100,90,0.69
kysyl-syr,ru,63.9,122.77,55.46,88,0,2.59
bandarbeyla,so,9.49,50.81,74.81,82,0,33.24
jamestown,sh,-33.21,138.6,44.84,86,36,8.3
barrow,us,-38.31,-60.23,43.58,59,0,13.18
bluff,nz,-23.58,149.07,39.8,78,0,3.38
madison,us,43.07,-89.38,80.35,42,75,6.35
cidreira,br,-30.17,-50.22,55.55,83,48,9.08
narsaq,gl,60.91,-46.05,57.2,47,68,5.82
punta arenas,cl,-53.16,-70.91,37.4,100,75,21.92
edd,er,13.93,41.69,78.41,81,12,2.59
torbay,ca,47.66,-52.73,73.4,78,40,17.22
cherskiy,ru,68.75,161.3,45.29,89,92,2.71
mantua,cu,45.16,10.79,80.73,74,0,4.7
solnechnyy,ru,50.72,136.64,64.01,97,92,3.38
victoria,sc,5.28,115.24,78.03,88,75,3.36
severnyy-kospashskiy,ru,59.09,57.8,52.58,85,0,2.1
pangody,ru,65.85,74.49,51.68,91,88,21.34
mehamn,no,71.03,27.85,70.88,64,0,16.11
mikuni,jp,36.22,136.15,78.8,88,20,3.36
patan,in,27.67,85.33,71.6,94,75,2.24
hambantota,lk,6.12,81.12,74.45,100,88,14.63
port alfred,za,-33.59,26.89,56.18,100,0,2.48
alice springs,au,-23.7,133.88,48.2,42,0,4.7
berlevag,no,70.86,29.09,74.34,60,0,14.99
morro bay,us,35.37,-120.85,85.08,37,1,10.29
hithadhoo,mv,-0.6,73.08,81.83,100,12,6.02
yellowknife,ca,62.45,-114.38,59.0,51,75,3.36
chibombo,zm,-14.68,28.09,54.83,55,0,8.37
saskylakh,ru,71.97,114.09,56.99,93,36,9.53
jinchang,cn,38.52,102.19,62.66,83,0,2.48
ketchikan,us,55.34,-131.65,74.12,47,1,12.75
opuwo,na,-18.06,13.84,50.06,52,0,2.55
riyadh,sa,24.63,46.72,91.4,14,0,4.7
longyearbyen,sj,78.22,15.63,50.0,71,75,2.24
airai,pw,-8.93,125.41,61.13,87,0,2.04
cape town,za,-33.93,18.42,50.0,87,0,3.36
port elizabeth,za,39.31,-74.98,73.4,88,75,4.7
coquimbo,cl,-29.95,-71.34,55.4,66,0,10.29
mandan,us,46.83,-100.89,83.39,32,20,5.82
amudat,ug,1.95,34.95,60.68,96,92,2.48
imbituba,br,-28.24,-48.67,59.0,82,75,6.93
ust-omchug,ru,61.13,149.63,50.15,100,92,3.27
portland,au,45.52,-122.67,81.63,45,90,4.7
rawson,ar,-43.3,-65.11,45.02,34,0,10.83
busselton,au,-33.64,115.35,55.55,100,80,4.05
katsuura,jp,33.93,134.5,77.0,88,40,10.29
naze,jp,5.43,7.07,73.64,92,80,6.4
provideniya,ru,64.42,-173.23,59.0,82,90,4.47
hobart,au,-42.88,147.33,50.0,53,40,21.92
russkaya polyana,ru,53.78,73.88,52.58,66,44,8.75
pangnirtung,ca,66.15,-65.72,39.2,100,90,5.82
lorengau,pg,-2.02,147.27,82.1,100,44,12.06
chokurdakh,ru,70.62,147.9,40.25,84,48,10.65
waipawa,nz,-39.94,176.59,40.7,78,80,6.85
makakilo city,us,21.35,-158.09,85.55,52,40,11.41
bartica,gy,6.41,-58.62,82.4,83,20,9.17
chara,ru,39.42,22.43,77.0,78,20,2.71
vanimo,pg,-2.67,141.3,83.72,100,76,16.91
hamilton,bm,43.26,-79.87,77.0,65,75,8.05
kabalo,cd,-6.05,26.92,71.39,53,8,4.12
lagoa,pt,37.14,-8.45,77.0,61,0,14.99
kumeny,ru,58.11,49.92,53.03,83,0,2.82
burgeo,ca,47.61,-57.61,60.95,88,0,17.87
tasiilaq,gl,65.61,-37.64,48.2,81,64,7.14
east london,za,-33.02,27.91,63.38,100,0,4.5
karlshamn,se,56.17,14.86,69.8,88,56,3.36
lompoc,us,34.64,-120.46,76.23,64,1,17.22
litovko,ru,49.24,135.18,69.41,96,92,3.0
puerto ayora,ec,-0.74,-90.35,78.8,61,90,17.22
leland,no,41.61,-88.8,78.37,44,40,6.93
mar del plata,ar,-46.43,-67.52,44.03,56,0,12.1
mareeba,au,-16.99,145.42,59.0,82,20,9.17
maraa,br,-1.83,-65.37,79.58,86,56,4.0
fagersta,se,60.0,15.79,68.95,100,44,2.24
safonovo,ru,55.11,33.24,63.56,80,0,9.53
gat,ly,14.69,-16.54,87.8,62,0,2.24
richards bay,za,-28.77,32.06,57.98,93,64,2.26
nong phai,th,16.0,101.06,71.57,98,92,4.12
meulaboh,id,4.14,96.13,78.5,100,92,6.73
hermanus,za,-34.42,19.24,41.78,88,0,4.79
abha,sa,18.22,42.5,65.34,72,0,6.93
buala,sb,-8.15,159.59,81.2,89,0,10.38
kokopo,pg,-4.34,152.27,78.68,100,32,10.65
pravda,ru,43.16,25.69,69.8,100,68,3.36
bernalillo,us,35.3,-106.55,80.62,42,40,9.17
seoul,kr,37.57,126.98,79.5,65,40,5.82
srednekolymsk,ru,67.46,153.71,46.01,74,44,4.27
vardo,no,39.62,-77.74,69.19,83,90,19.46
asbe teferi,et,9.08,40.87,57.98,96,88,0.98
atuona,pf,-9.8,-139.03,79.94,99,0,16.8
novosibirsk,ru,55.03,82.92,46.4,93,0,4.47
tuktoyaktuk,ca,69.44,-133.03,68.0,64,20,8.05
carutapera,br,-1.2,-46.02,81.38,77,20,14.45
gambela,et,8.25,34.59,62.3,87,56,1.99
iquique,cl,-20.22,-70.14,59.0,67,75,13.87
avarua,ck,-21.21,-159.78,75.2,69,75,6.93
senno,by,57.76,27.95,69.8,68,0,4.47
fortuna,us,38.18,-1.13,78.8,88,20,1.12
umm lajj,sa,25.02,37.27,80.21,84,0,3.56
khash,ir,28.22,61.21,61.13,22,0,3.56
katobu,id,-4.94,122.53,77.06,100,12,6.29
la colorada,pa,7.55,-72.32,89.6,46,40,11.41
sabang,id,13.72,123.58,78.05,100,24,4.72
pervomayskoye,ru,57.07,86.23,42.68,87,0,3.0
lokoja,ng,7.8,6.74,73.73,95,36,7.58
bredasdorp,za,-34.53,20.04,48.2,93,0,5.82
auki,sb,12.18,6.51,75.17,80,68,6.73
kavieng,pg,-2.57,150.8,83.27,100,64,14.18
arkhangelsk,ru,64.54,40.54,51.8,100,0,2.24
ardakan,ir,32.31,54.02,82.4,7,0,9.17
bani walid,ly,31.76,14.0,77.78,35,0,7.81
leningradskiy,ru,69.38,178.42,38.0,92,92,5.28
southbridge,nz,42.08,-72.03,77.92,57,1,5.82
gravdal,no,59.79,5.78,66.2,77,0,8.05
mbandaka,cd,0.05,18.26,74.36,90,20,1.99
zabaykalsk,ru,49.64,117.33,57.08,77,0,14.79
barra patuca,hn,15.8,-84.28,85.25,86,8,14.63
kabo,cf,7.69,18.62,71.57,90,44,4.61
upernavik,gl,72.79,-56.15,43.31,85,0,2.37
saint george,us,39.45,22.34,77.0,78,20,2.71
saldanha,za,41.42,-6.55,72.38,57,0,8.93
maltahohe,na,-24.83,16.98,47.9,43,0,3.6
gamba,ga,28.28,88.52,33.5,98,88,2.59
isiro,cd,2.77,27.62,67.16,98,36,2.1
mahenge,tz,-8.68,36.72,65.27,84,0,2.26
necochea,ar,-38.55,-58.74,44.75,80,20,14.18
